gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-690.3104555836138,0.9580161058939293,-387.28283138638164,1.5115794471097783,-100.18111350477385,5.355451920217275,171.20533596046337,1.0446862140052535
1,1,-729.7066145867001,1.2458784023765663,-450.0459382662806,1.878961726887851,-100.33882704151806,6.887084120713837,164.75897660263175,1.1656003526701517
2,2,-726.3577801656637,1.4078461818533714,-428.3029012697375,2.011878828792515,-45.12147634697516,6.544014314554188,190.96272834574233,1.0158670190308423
3,3,-714.2602562204446,0.7532186241523584,-434.96624339182637,1.1836355170924473,-100.33882704151806,3.9902142718260647,163.93878755018198,0.8581408399798811
4,4,-750.5546417961468,0.8148221356325969,-414.1191183914945,1.3133692839389035,-43.58110587103253,4.803769608787045,187.23814440175775,1.0626923136935853
5,5,-782.0802249987814,0.7826242198981076,-451.4581139787482,1.2412167994661796,-90.0978129351502,3.9559554369494947,200.34119395733407,0.8831415212256838
6,6,-889.0387780933488,1.0621385369503207,-425.962114217181,1.6849791286486073,-91.27781920104705,7.914530043002268,203.84618828077902,1.3301931486850391
7,7,-918.8396530905826,1.2729950673980468,-445.8630000649076,1.9378595686611604,-65.59508630682082,6.875060587640556,205.7971265332644,1.1999884336007274
8,8,-713.3562469864147,0.9186888638882312,-420.282205978406,1.517887185418661,-87.60289944377591,7.252146081525845,192.42936789060255,1.3338135028670752
9,9,-712.7777563641616,0.9121396666076507,-383.16532644926133,1.4745746588577582,-22.693455417683158,4.969099088554804,198.3571771919071,1.14989813478905
10,10,-798.2022924447057,0.8910052245848318,-416.85335675317464,1.3931759526566787,-99.99991644046311,4.363375559690682,182.67189693002413,0.9087136479397274
11,11,-772.7355165352511,1.02759260111636,-356.8206701763535,1.582906701918788,-87.87137078374151,7.161693699587673,185.7007294372694,1.1399786577875064
12,12,-587.3627012996293,0.8449825142745221,-362.5972571339207,1.3955142297348402,-100.18111350477385,5.627629319993635,172.41313958563936,1.220775435493768
13,13,-737.7015466798343,0.6725222634475582,-382.26814827193203,1.1392708230013944,-100.18111350477385,6.0180706999213855,181.50378033017827,1.1705285015190174
14,14,-711.5483039571694,0.8373168628254335,-400.409712980218,1.353108115350294,-88.14288643921088,4.425402642070853,158.95142826004104,1.0372002634449307
15,15,-608.5167788667756,0.7658944246292705,-404.54721198541773,1.247636363606755,-102.74526229225245,4.984345899570721,148.9443776904377,1.043956827892751
16,16,-693.1315596589528,1.016699417513436,-346.18291805608305,1.6065312636855154,-90.62259727751096,6.577513331355408,180.18333371344258,1.1769145897629716
17,17,-730.4419436853242,1.2224391017826362,-350.340602834798,1.7797867869566446,-42.67930195201158,3.9976491874366373,188.7134608106329,0.8634335364022804
18,18,-652.8389435853351,0.47199827752468,-341.34385996766423,0.769932818094392,-38.40102704330301,3.5419422878639795,166.34541111679525,0.6937063630954193
19,19,-599.2143055373552,0.9832873413999309,-402.2207216429398,1.6034955174143675,-100.21671022195657,5.387098369497581,149.20645736032907,1.2183530582703588
