gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-616.4130445537966,1.243817587038972,-384.2317799094376,1.8989414327030854,-125.80270575087894,7.53032795837363,143.8991612284063,1.1795536444979935
1,1,-555.7931301359073,1.2527318916320735,-439.2209346108123,3.4557174789919767,-125.80270575087894,7.53032795837363,104.08237006311411,1.610647066552833
2,2,-561.8085545014584,2.1795843126774943,-473.02198469050677,4.565951539740701,-149.68380095932264,7.53032795837363,67.33334809371877,1.4960925842082091
3,3,-580.0994581418475,2.9210473578943916,-486.0331939855015,5.212080497002768,-314.77567570991823,7.53032795837363,59.60935393820058,1.2137333787251732
4,4,-585.1713251342384,2.994668238311584,-513.6319762267724,5.750695557072873,-416.41870993021104,7.53032795837363,52.35659235450245,1.075782423033734
5,5,-561.4889390659233,3.4646163800637675,-517.2716284019707,6.052193031093717,-449.4470775117489,7.53032795837363,50.93201799213373,0.7934912792374799
6,6,-561.8085545014584,4.329513232695678,-495.9058205924491,6.138073667792226,-125.80270575087894,7.53032795837363,98.10321219996558,0.865320605439743
7,7,-561.8085545014584,3.9726627932342993,-486.7553291523056,6.303091312256485,-124.20080547563549,7.53032795837363,118.53411995068203,0.9630269095270403
8,8,-609.1698199015214,4.040158009797131,-520.98148106299,6.259634019619778,-124.20080547563549,7.53032795837363,94.98158034814878,1.0429092289237747
9,9,-561.4889390659233,3.768716782257072,-543.3531760897101,6.448809448670514,-449.4470775117489,7.53032795837363,36.25538312588032,0.9989311530828406
10,10,-561.4889390659233,4.008420241142111,-545.8896352076979,6.898580646182064,-387.6343289042041,7.53032795837363,34.85141774844699,0.8410429452889129
11,11,-561.4889390659233,3.894930169699543,-550.0290818303571,7.104189987301533,-430.4353872745425,7.53032795837363,25.085774020531318,0.8092681531321403
12,12,-561.4889390659233,3.9526114146697746,-540.2834219561238,7.241200681905168,-182.0135682754407,7.53032795837363,67.16453784992969,0.7443870814763228
13,13,-561.4889390659233,1.8696358672650806,-535.3527022144538,7.1183195901611915,-179.4270514825014,7.53032795837363,71.63870107446735,1.1314435644162186
14,14,-563.3836007119716,2.2888264269566188,-535.0448804928669,7.169221471135444,-115.09635938203697,7.53032795837363,76.2261747982585,0.92597041485303
15,15,-561.8085545014584,3.346303536144324,-534.9101722942042,7.200653112246639,-179.4270514825014,7.53032795837363,71.8721909976096,0.7917554037022343
16,16,-561.8085545014584,1.7532792193964872,-539.6013661345195,6.938174720165119,-225.9791110571025,7.53032795837363,57.163244836929174,1.5315708279804807
17,17,-555.7931301359073,2.0407841114479597,-532.2935932776627,7.029000454611309,-130.8086705942378,7.53032795837363,85.73669389190539,1.4624791842438396
18,18,-555.7931301359073,4.444831209643352,-520.3803739782172,7.272034164809227,-130.8086705942378,7.53032795837363,106.54997007943857,0.8151785929024308
19,19,-555.7931301359073,2.6428735619372845,-525.1349036427331,6.979224227007543,-143.28388481149707,7.53032795837363,99.80093674080842,1.362764276260502
20,20,-555.7931301359073,4.444831209643352,-522.8287582382742,7.230106585757406,-125.80270575087894,7.53032795837363,99.35353086693235,0.7734802028177459
