gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-728.9377839132353,1.4706453806440662,-398.20154296689196,2.090919308432146,-117.72975184130145,7.5981646899200515,193.65825569646404,1.4571491696352463
1,1,-682.8900225961092,1.8897582212052193,-456.827797166774,3.249571669322346,-124.46044772493678,7.109002030241515,195.06980357089722,2.1840036853703557
2,2,-682.8900225961092,2.14655277334161,-458.7667695850789,3.553822580926663,-142.76509866886337,6.864216137424434,184.24230337688155,2.02367485302276
3,3,-719.7520550687941,1.8586003136585125,-455.5961814149248,2.433652416678033,-178.7173575765578,7.183964073886197,145.6829966219852,1.2985584826065641
4,4,-682.8900225961092,2.1547790518416265,-480.95515376776564,3.170202728269516,-197.34705092141635,6.852655972489336,154.25735739189176,1.5985667027132178
5,5,-670.8101869129565,1.643224381471261,-463.44054811281455,2.638646045496843,-114.15160176261566,7.153863184409841,184.51616223150762,1.5513662295437698
6,6,-650.3877703472723,1.2978568410889209,-342.8746397508296,1.6381715934878502,-138.47120642261496,4.096281410567573,199.30776601535734,0.7474462554693218
7,7,-688.2540393780541,1.7585137484839382,-393.1452906662062,2.089602949157679,-144.18961363383846,3.221133372371098,195.34660361010071,0.4408604811271943
8,8,-682.8900225961092,1.8721411941990191,-413.218930209926,2.4939397105092524,-120.76175467503832,7.1377961852442295,200.0251170927251,1.2003120902019437
9,9,-682.8900225961092,1.0250486735111433,-314.64724266125756,1.3353675488774102,-69.75399505426928,8.013951734207474,142.3603221852235,0.9992969236489266
10,10,-682.8900225961092,1.3682444558707652,-382.850907944419,2.421499617329223,-158.55815903525124,7.59969450635796,161.92931685589514,2.1506584277063983
11,11,-605.5668215055349,2.8073572611561044,-424.75532155338385,3.4973184647630466,-231.06581320611687,5.330270276210699,123.66803967337457,1.0308193473561444
12,12,-708.7658817197316,0.627755875125694,-284.8931111902368,0.9509917420377002,-143.73734269828734,4.470057079643872,110.12919950651082,0.801618226630334
13,13,-682.8900225961092,2.1012942324515884,-452.2936680514951,3.0446529849113726,-143.9641539072546,6.893794705007485,179.1527691199096,1.8358695191996879
14,14,-682.8900225961092,1.5372924416274734,-436.3847242073085,2.5268352612911578,-143.73734269828734,7.350999560650979,175.20510942548046,1.7694729837705896
15,15,-672.9970555418677,0.4647136772780752,-376.399787159533,0.9441466963309354,-129.40339591598388,6.766771226345882,195.38365274997312,1.261830032878269
16,16,-682.8900225961092,0.6307192103861428,-398.06924116864553,1.0868675122472122,-143.04231163291428,8.407707620203226,153.16579686883384,1.4634477146001772
17,17,-713.848727140312,2.99051192922237,-529.5970020291986,4.004431322055823,-221.81818346420425,5.105838171308351,166.65329920086276,0.8019994120924385
18,18,-682.8900225961092,2.428282134322035,-338.8901319005739,3.431247543527371,-91.35945547125537,6.537004469610188,255.3363265383363,1.6345166622928928
19,19,-645.905157809437,0.23684644273727065,-404.1749966117207,0.38919396742474627,-316.52089072167814,2.2235349789210512,78.59650415570268,0.4653544207232486
