gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-731.9764218171364,0.9081728386076521,-410.1476546555469,1.44936527949608,2.20056918381205,8.021852701577254,187.0207025243115,1.1572160866586083
1,1,-731.9764218171364,0.9421681052586468,-469.1644575315908,2.1925228857143275,2.20056918381205,8.021852701577254,166.29702026123596,1.3918092418010575
2,2,-679.1096316506754,1.068476683003442,-448.22273879172707,3.324382354621148,-104.86534513339116,8.021852701577254,171.20188197467232,1.3281954935280784
3,3,-679.1096316506754,2.0099670342635174,-423.67273046058,4.242283458418413,-184.61268715964923,8.021852701577254,183.17666504980102,1.299849104686385
4,4,-679.1096316506754,2.1191520865996685,-449.0288719688643,4.80407023295217,-99.58165875134016,8.021852701577254,180.2667133537775,1.4519441234293513
5,5,-679.1096316506754,3.8787206078160392,-534.6575315286882,5.97505671754458,-184.61268715964923,8.021852701577254,142.94305700753682,1.7102934041597018
6,6,-661.813221809952,2.96892064104918,-600.7235832231798,6.888936824247467,-184.61268715964923,8.026404272795691,95.80855091248253,1.6089632199671706
7,7,-661.813221809952,4.76436645356284,-645.1593712725967,7.660947508970596,-428.7900128158028,8.026404272795691,54.97898186117523,1.0066200375526613
8,8,-661.813221809952,4.76436645356284,-655.9853076827975,7.934346492634047,-428.7900128158028,8.026404272795691,34.335128382612034,0.5138682784474521
9,9,-661.813221809952,2.404598430738871,-661.8132218099516,7.862205014208153,-661.813221809952,8.026404272795691,3.410605131648481e-13,0.9359734697029932
10,10,-661.813221809952,8.021852701577254,-649.3463348110216,8.043752820803652,-516.3662068224346,8.259147807678168,40.71668243775486,0.06598462396009769
11,11,-661.813221809952,8.021852701577254,-628.568189812805,8.07830234613499,-516.3662068224346,8.259147807678168,61.075023656632276,0.09845872836164106
12,12,-661.813221809952,8.021852701577254,-601.5566013151233,8.122566504605949,-516.3662068224346,8.259147807678168,71.64694878884015,0.11487245518333239
13,13,-661.813221809952,8.026404272795691,-576.6228273172632,8.162725486084,-516.3662068224346,8.259147807678168,71.64694878884016,0.11464906396387435
14,14,-661.813221809952,8.026404272795691,-539.2221663204733,8.222573823625204,-516.3662068224346,8.259147807678168,52.93331842128654,0.08470361281382982
15,15,-661.813221809952,8.026404272795691,-518.4440213222566,8.255822900036986,-516.3662068224346,8.259147807678168,17.259623506935924,0.02761875715420985
16,16,-516.3662068224346,0.960376212342126,-501.5500132222563,8.05061147638285,2.20056918381205,8.259147807678168,86.3925121473555,1.2159653161105073
17,17,-516.3662068224346,8.259147807678168,-516.3662068224348,8.259147807678165,-516.3662068224346,8.259147807678168,2.2737367544323206e-13,3.552713678800501e-15
18,18,-516.3662068224346,0.960376212342126,-501.5500132222563,8.05061147638285,2.20056918381205,8.259147807678168,86.3925121473555,1.2159653161105073
19,19,-516.3662068224346,8.259147807678168,-516.3662068224348,8.259147807678165,-516.3662068224346,8.259147807678168,2.2737367544323206e-13,3.552713678800501e-15
20,20,-516.3662068224346,8.259147807678168,-516.3662068224348,8.259147807678165,-516.3662068224346,8.259147807678168,2.2737367544323206e-13,3.552713678800501e-15
