gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-712.5125967206098,0.0005962947915532931,-386.4851916851906,0.4922197353493461,-99.54775248178755,0.9021340026742019,177.1570233145282,0.2520799969187387
1,1,-696.8964141561495,0.0005016564706101247,-439.08381970683547,0.40091790333268645,-100.33882704151806,0.9002960056296273,173.57996626565995,0.2537329420866158
2,2,-721.011366043586,0.011693341461232168,-422.57666084441996,0.442025567818214,-91.45832047788436,0.9015100270986649,175.87404643878807,0.2437522541056214
3,3,-712.7777563641616,0.0010067069258683,-440.96274342466876,0.40902614830165296,-98.95442586699308,0.9001989753568888,177.49975959912905,0.2578211018999106
4,4,-875.534402318718,0.09999999999999987,-405.6183237116292,0.4943612383093929,-0.564687429251272,0.9111646148163796,210.7329357733738,0.21112946232905852
5,5,-718.6344303996375,0.0024852646566319836,-447.12504989251846,0.3755003629896455,-50.8498575355045,0.9014654167527618,191.61194454158104,0.26066061388747885
6,6,-730.5893509727049,0.004701238411147971,-446.42477604932645,0.4143781795297155,-100.18111350477385,0.9002579052089467,171.78705802438301,0.2409101222361567
7,7,-732.6921522863795,0.00034630274599385663,-444.33728877913364,0.42497612078240365,-100.33882704151806,0.900288917938438,180.97939995052823,0.2539474170459255
8,8,-776.5391005922423,0.0817637088679226,-448.84858342644503,0.44230765109769654,-90.62259727751096,0.9005182622953363,177.86260265665481,0.22826420720339324
9,9,-741.23757234597,0.037138050898860825,-403.9676676611046,0.4372362011132777,-34.1304399511911,0.9005272967568166,187.96077852005644,0.2339161330083316
10,10,-712.7964849341923,0.002003348635038825,-383.86252379498075,0.49017159075338634,-97.21225677113866,0.9002971633024125,176.10249037386546,0.2551803859479604
11,11,-713.035000239889,0.000955511027246788,-380.43430623948814,0.4845977163180807,-81.52584720358892,0.902565481145816,187.72038682220852,0.26398594569912354
12,12,-712.5125967206098,0.0006958269022996255,-375.39759880261164,0.506367158666027,-100.18111350477385,0.9002164866395331,172.90833165373508,0.24665611671100776
13,13,-671.8882351053201,6.532605445000507e-05,-384.73646151572086,0.4239713683734026,-48.470759760771465,0.9020644759383605,190.2335781701971,0.2681243979648587
14,14,-643.527798674594,0.0,-385.6110604216142,0.41588885437076445,-69.12943309725414,0.9064260723674118,167.30146035865806,0.2571037372108909
15,15,-888.1241033990942,0.002225604862217174,-414.4109010721728,0.5738577999146073,-128.64347112235464,0.9027160018053527,165.09933112746282,0.1973163663459755
16,16,-713.035000239889,0.00082907483574021,-386.3438855546918,0.49231711733537625,-100.18111350477385,0.9001273806376464,175.35537876745994,0.2500176064587277
17,17,-672.6922486306665,0.0010548025542062409,-357.7390308917892,0.4649705027649894,-44.53694355564979,0.9001107167205252,189.69194512170307,0.26276695202065276
18,18,-681.9340378901056,0.04526911025498258,-376.9725259021933,0.478528319801656,-95.43813389246155,0.9001280877176144,182.51668450161893,0.27133102452964153
19,19,-605.9018098540909,0.030936119489110802,-390.7686798652747,0.38886457668142677,-89.79179773608321,0.904486812829346,153.8494997072202,0.25628334394644064
