gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-731.9764218171364,0.004642687304451477,-396.6427848914009,0.3419299681264227,2.20056918381205,0.7020721509598604,187.1163263183772,0.17143734417740836
1,1,-661.813221809952,0.10143547407674419,-295.8854170179682,0.4584417379827977,-90.0978129351502,0.7037891605743021,166.3734701656722,0.1389195668012817
2,2,-423.8443078477287,0.32513507339762215,-183.0025255746283,0.5647310041816443,-95.38411315687426,0.7011846762413899,85.65544166837674,0.08558682444806474
3,3,-453.4341976224414,0.44896935435978697,-140.84027693950094,0.6221388889152842,-49.6138790263992,0.7081774265983448,77.76729021115952,0.05313476445858097
4,4,-221.96810360617235,0.5522769207013555,-109.18099900088563,0.6615787353082697,-49.6138790263992,0.7081774265983448,27.737802075956527,0.043584936210379406
5,5,-348.91807319350784,0.39960850927074426,-104.27756135647347,0.6871546504865006,-49.6138790263992,0.7081774265983448,36.67794257788107,0.03791257161408735
6,6,-203.7328945140424,0.6025168996751498,-94.40851304172169,0.6973176614470925,-49.6138790263992,0.7081774265983448,25.65174428495673,0.01582597469349179
7,7,-203.7328945140424,0.6025168996751498,-84.83448152130725,0.6999549614641926,-49.6138790263992,0.7126946378858519,27.08999596520195,0.01754926388142858
8,8,-100.33882704151806,0.701003796710146,-74.89465945846763,0.705018380463079,-49.6138790263992,0.7126946378858519,22.658581800098364,0.0033370678518138738
9,9,-584.0624349271934,0.3694422492273153,-67.09603368514162,0.7034223227952275,-49.6138790263992,0.7141359955397555,59.1806043018943,0.036584822110026775
10,10,-212.09148621068945,0.6429767969089014,-61.02373736777757,0.7112759327339937,-49.6138790263992,0.7613837885007986,38.74862275971427,0.014708734326786868
11,11,-290.2090851883633,0.7,-69.90643674639021,0.7144773327882088,-49.6138790263992,0.7613837885007986,59.19520808499891,0.013667222430769092
12,12,-290.2090851883633,0.7081774265983448,-97.18109022546307,0.7222475189864215,-49.6138790263992,0.7613837885007986,82.41755383720566,0.019398382981099145
13,13,-290.2090851883633,0.7,-123.02307730313825,0.7311926621705582,-49.6138790263992,0.7613837885007986,87.43004200186326,0.02324091920574082
14,14,-290.2090851883633,0.35069437122215236,-144.96862175025433,0.7971045106976478,-49.6138790263992,1.0,87.90432058337271,0.11842633902803062
15,15,-290.2090851883633,0.22896988355277026,-145.1155019674059,0.8524169219998641,-49.6138790263992,1.0,82.69548896529156,0.13613491186856175
16,16,-212.09148621068945,0.45365558607630135,-99.31291181218212,0.919770848190256,-49.6138790263992,1.0,74.8664548817778,0.12908584570001055
17,17,-290.2090851883633,0.649706830042631,-73.47092473450695,0.957940335335899,-49.6138790263992,1.0,59.398580977770344,0.09571118669146482
18,18,-49.6138790263992,0.7,-49.61387902639921,0.9964705882352941,-49.6138790263992,1.0,1.4210854715202004e-14,0.03234759314086475
19,19,-49.6138790263992,0.7,-49.61387902639921,0.9894117647058824,-49.6138790263992,1.0,1.4210854715202004e-14,0.05535666049891102
20,20,-49.6138790263992,0.7,-49.61387902639921,0.9894117647058824,-49.6138790263992,1.0,1.4210854715202004e-14,0.05535666049891101
